,mark,model,description,fuel,km,year,gearbox,price,power,isautoscout,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad
27408,FORD,Focus,1.0 Flexifuel mHEV 125ch ST-Line X,Électrique/Essence,3000.0,2024,Manuelle,31499.0,171.2730640535373,1,0,1,1,1,1,1,1
27409,FORD,Mustang,Coupé Gt 5.0l V8 450 Bva10 Premium + Magneride,Essence,23100.0,2019,Automatique,52990.0,450.0,1,0,0,1,1,1,1,1
27410,TOYOTA,Yaris,116h Design 5p,Autres,23281.0,2021,Automatique,19499.0,94.0,1,1,1,1,1,1,1,0
27411,NISSAN,Qashqai,1.3 Mild Hybrid 140ch Acenta,Autres,25400.0,2021,Manuelle,22499.0,141.0,1,0,1,1,1,1,1,1
27412,OPEL,Corsa,1.2 75ch Design / Tech,Essence,18375.0,2021,Manuelle,14499.0,76.0,1,1,1,1,1,0,0,1
27413,NISSAN,X-Trail,1.5 213 e-Power e-4ORCE Tekna 7P,Électrique/Essence,10.0,2024,Automatique,42543.0,213.0,1,0,0,1,1,1,1,1
27414,RENAULT,Clio,Clio 3.0i V6 II RS V6 BERLINE RS V6 PHASE 2,Essence,81000.0,2004,Manuelle,69900.0,253.0,1,0,0,1,1,1,1,1
27415,AUDI,Q2,35 TDI 150ch Advanced S tronic 7,Diesel,29375.0,2021,Automatique,28799.0,171.2730640535373,1,1,1,1,1,1,0,1
27416,PEUGEOT,308,PureTech 130 EAT8 Active +GPS +Caméra,Essence,61639.0,2019,Automatique,13900.0,131.0,1,1,0,1,1,1,0,1
27417,MERCEDES-BENZ,C 300,Classe Break de 9G-Tronic AMG Line,Électrique/Essence,68000.0,2022,Automatique,54500.0,194.0,1,0,0,1,1,1,1,1
27418,HYUNDAI,TUCSON,1.6 CRDI 115ch Business,Diesel,49382.0,2019,Manuelle,18990.0,117.0,1,0,1,1,1,1,1,1
27419,MERCEDES-BENZ,B 180,CDI AMG Pack - GPS - PDC - Airco - Topstaat 1S...,Diesel,137585.0,2018,Manuelle,16990.0,109.0,1,1,0,1,1,1,0,1
27420,DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2 E6U,Diesel,42743.0,2020,Manuelle,16990.0,171.2730640535373,1,1,0,1,1,1,1,1
27421,RENAULT,Clio,IV dCi 75 Energy Zen,Diesel,75000.0,2016,Manuelle,9490.0,75.0,1,1,0,1,1,0,0,0
27422,AUDI,Q2,Q2 2.0 35 TDI quattro sport Autom./Klima/LED/BC,Diesel,96151.0,2019,Automatique,23900.0,150.0,1,0,1,1,1,1,1,1
27423,FORD,Mustang,FASTBACK,Essence,1479.0,1970,Automatique,42500.0,171.2730640535373,1,1,0,1,1,1,0,1
27424,TOYOTA,Yaris,1.6 GR 261ch Track 3p 4WD,Essence,14128.0,2020,Manuelle,50990.0,265.0,1,1,1,1,1,1,1,0
27425,NISSAN,Juke,"DIG-T 114 hp 84kW (114PS), Schaltgetriebe, Fr...",Essence,50.0,2023,Manuelle,24199.0,114.0,1,0,1,1,1,1,1,1
27426,MERCEDES-BENZ,E 200,Classe Cabriolet Sportline A,Essence,57000.0,2015,Automatique,33900.0,184.0,1,0,0,1,1,1,1,1
27427,VOLKSWAGEN,Polo,1.2 CR TDi Highline*PDC*CLIM DIGITAL*GARANTIE 12 M,Diesel,175000.0,2011,Manuelle,6450.0,75.0,1,1,0,1,1,0,0,0
27428,MERCEDES-BENZ,E 200,"CGI CABRIOLET, CUIR, CAPT AV/AR",Essence,140392.0,2011,Manuelle,15990.0,184.0,1,1,1,1,1,1,0,1
27429,PEUGEOT,508,BlueHDi 130ch S\u0026S GT EAT8,Diesel,8000.0,2023,Automatique,45000.0,171.2730640535373,1,0,1,1,1,1,1,1
27430,MERCEDES-BENZ,CL,300 de 194+122ch AMG Line 9G-Tronic,Électrique/Essence,54367.0,2019,Automatique,36490.0,171.2730640535373,1,0,1,1,1,1,1,1
27431,PEUGEOT,5008,1.2 PureTech 130ch S\u0026S GT,Essence,3.0,2024,Manuelle,33499.0,171.2730640535373,1,0,1,1,1,1,1,1
27432,NISSAN,Juke,1.0 DIG-T 114ch N-Connecta 2021.5,Essence,42000.0,2022,Manuelle,17999.0,116.0,1,1,1,1,1,1,1,1
27433,PEUGEOT,Expert,IV Premium,Diesel,10.0,2023,Manuelle,33300.0,144.0,1,0,0,1,1,0,0,1
27434,PEUGEOT,407,2.0 HDI136 SPORT PACK,Diesel,91883.0,2005,Manuelle,6290.0,137.0,1,1,0,1,1,1,0,0
27435,PEUGEOT,208,1.6 THP 200 GTI,Essence,55600.0,2014,Manuelle,14990.0,200.0,1,1,0,1,1,1,0,0
27436,OPEL,Movano,F3500 L2H2 140 CH PACK BUSINESS CONNECT,Diesel,6.0,2023,Manuelle,29964.0,140.0,1,0,0,1,1,0,0,0
27437,OPEL,Corsa,1.2 Turbo 100ch Elegance,Essence,54562.0,2020,Manuelle,13499.0,171.2730640535373,1,0,0,1,1,1,1,1
27438,RENAULT,Trafic,L1H1 1000 KG DCI 95 E6 STOP&START CONFORT,Diesel,116073.0,2017,Manuelle,17990.0,95.0,1,1,0,1,1,0,0,0
27439,SKODA,Fabia,1.4 TDI 70 Classic,Diesel,157000.0,2007,Manuelle,3990.0,69.0,1,1,0,1,1,0,0,0
27440,NISSAN,NV300,L2H1 2.0 dCi 145 N-Connecta,Diesel,120000.0,2019,Manuelle,26990.0,145.0,1,0,0,1,1,1,1,1
27441,BMW,118,(F21/F20) 118IA 136CH M SPORT 5P,Essence,81900.0,2018,Automatique,19990.0,137.0,1,1,1,1,0,1,0,1
27442,SKODA,Fabia,1.2 TDI 75 CR FAP GreenLine,Diesel,137835.0,2011,Manuelle,3200.0,75.0,1,1,0,1,1,0,0,0
27443,RENAULT,Clio,1.3 TCe 140ch Techno,Essence,4113.0,2023,Manuelle,19499.0,141.0,1,0,1,1,1,1,1,1
27444,AUDI,A4,Break 2.0 TDi Business Automaat/Full-Led/Leder/Nav,Diesel,108000.0,2017,Automatique,20450.0,150.0,1,1,0,1,1,1,0,1
27445,BMW,440,M440iA xDrive 374ch,Électrique/Essence,44996.0,2020,Automatique,58990.0,171.2730640535373,1,0,1,1,1,1,1,1
27446,CITROEN,BX,1.9 Sport,Essence,167500.0,1985,Manuelle,10900.0,125.0,1,1,0,1,1,1,0,1
27447,PEUGEOT,208,1.2 PureTech 110ch S,Essence,39281.0,2016,Manuelle,8990.0,110.0,1,1,0,1,0,1,0,1
27448,OPEL,Corsa,1.4 Turbo 100cv Excite 47 000 kms,Essence,47111.0,2018,Manuelle,10990.0,101.0,1,1,0,1,1,0,1,1
27449,PEUGEOT,206,1.6 HDi 16v Quiksilver,Diesel,268000.0,2006,Manuelle,3650.0,110.0,1,1,1,1,0,1,0,1
27450,MERCEDES-BENZ,E 63 AMG,Classe E Break 63 S AMG 9G-Tronic 4-Matic+,Essence,70000.0,2018,Automatique,69990.0,751.0,1,0,0,1,1,1,1,1
27451,OPEL,Corsa,1.3 CDTI - 75 EcoFlex 105g Essentia,Diesel,135000.0,2009,Manuelle,5290.0,75.0,1,1,0,1,1,0,0,0
27452,RENAULT,Kadjar,FAP INTENS 1.3 TCE 160CH,Essence,38483.0,2019,Manuelle,20490.0,162.0,1,0,1,1,1,1,1,1
27453,RENAULT,Arkana,1.6 e-tech 145ch zen,Électrique/Essence,50.0,2021,Automatique,31490.0,171.2730640535373,1,0,1,1,1,1,1,1
27454,VOLKSWAGEN,Polo,R-Line/LED/Virtual/Park.Ass,Essence,17482.0,2023,Manuelle,20490.0,95.0,1,1,1,1,1,0,0,1
27455,AUDI,A3,2.0 TDI 150,Diesel,167000.0,2014,Manuelle,11000.0,150.0,1,1,0,1,1,1,0,1
27456,RENAULT,ZOE,Life charge normale R110 Achat Intégral - 20,Electrique,41835.0,2020,Automatique,15299.0,171.2730640535373,1,1,1,1,1,0,0,0
27457,CITROEN,CX,25 prestige turbo,Essence,57000.0,1986,Manuelle,75000.0,169.0,1,1,0,1,1,1,0,0
27458,PEUGEOT,3008,1.2 PureTech 130 Active,Essence,123562.0,2019,Manuelle,12290.0,131.0,1,1,0,1,1,1,0,1
27459,OPEL,Astra,TWINTOP 1.9 CDTI - 150 FAP Linea Rossa 2,Diesel,58000.0,2008,Manuelle,9490.0,150.0,1,0,0,1,1,1,1,1
27460,PEUGEOT,205,GTI 1.9,Essence,244000.0,1992,Manuelle,24900.0,171.2730640535373,1,0,1,1,1,1,0,0
27461,FERRARI,California,+30 4.3 V8 F1 490 ch,Essence,57500.0,2012,Automatique,129990.0,489.0,1,0,0,1,1,1,1,1
27462,CITROEN,Spacetourer,e-Spacetourer XL 136 ch 50 kWh,Electrique,1153.0,2021,Automatique,34990.0,136.0,1,0,1,1,1,1,1,1
27463,RENAULT,Arkana,1.6 E-Tech hybride 145ch Engineered -22,Électrique/Essence,12000.0,2023,Automatique,28999.0,171.2730640535373,1,0,1,1,1,1,1,1
27464,PORSCHE,Cayenne,(958) 3.0 416CH S E-HYBRID PLATINUM EDITION,Électrique/Essence,77839.0,2016,Semi-automatique,49800.0,339.0,1,0,0,1,1,1,1,1
27465,DACIA,Duster,1.5 Blue dCi 115ch Prestige + 4x2,Diesel,31257.0,2022,Manuelle,21999.0,118.0,1,1,0,1,1,1,1,1
27466,BMW,118,Serie F40 118D 150ch BVA8 Lounge Historique d'entr,Diesel,67180.0,2020,Automatique,22990.0,151.0,1,1,1,1,1,1,0,0
27467,FORD,Mustang,Fastback S Code 390 GT,Essence,95000.0,1967,Manuelle,93900.0,171.2730640535373,1,1,0,1,1,1,0,1
27468,OPEL,Corsa,1.2 75ch Edition Business,Essence,15931.0,2021,Manuelle,13499.0,171.2730640535373,1,0,1,1,1,1,1,1
27469,AUDI,A1,A1 Sportback 1.0 TFSI ultra 95,Essence,34308.0,2018,Manuelle,16990.0,95.0,1,1,0,1,1,0,0,0
27470,PEUGEOT,3008,"GT Line,toit pano,LED, caméra,*Garantie 2ans*",Diesel,100195.0,2018,Manuelle,18394.0,131.0,1,0,1,1,1,1,0,1
27471,PEUGEOT,207,affaire 1.6 hdi 90 blue lion pack cd clim,Diesel,173000.0,2010,Manuelle,3700.0,171.2730640535373,1,1,0,1,1,1,0,0
27472,VOLVO,XC60,D4 ADBLUE 190 CH GEARTRONIC 8 BUSINESS EXECUTIVE,Diesel,99034.0,2018,Automatique,27990.0,190.0,1,0,0,1,1,1,1,1
27473,SKODA,Octavia,RS,Essence,73499.0,2016,Manuelle,22900.0,220.0,1,0,1,1,1,1,1,1
27474,SKODA,Enyaq,RS,Electrique,2000.0,2024,Automatique,61435.0,340.0,1,0,0,1,1,1,1,1
27475,OPEL,Adam,1.4 TWINPORT 87CH GLAM START/STOP,Essence,66080.0,2014,Manuelle,8990.0,88.0,1,1,0,1,1,1,0,1
27476,RENAULT,Twingo,1.0 Limited,Essence,33000.0,2020,Manuelle,11990.0,73.0,1,1,0,0,1,0,0,0
27477,PEUGEOT,207,CC 1.6 VTi 16V 120ch Sport Pack A,Essence,195000.0,2009,Manuelle,4400.0,120.0,1,1,0,1,1,1,0,0
27478,VOLKSWAGEN,Passat Variant,SW 1.4 TSI Hybride Rechargeable DSG6 GTE,Autres,142000.0,2020,Manuelle,18490.0,156.0,1,0,0,1,1,1,1,1
27479,DACIA,Duster,1.5 Blue dCi 115ch Techroad 4x2,Diesel,58741.0,2019,Manuelle,16499.0,171.2730640535373,1,1,0,1,1,1,1,1
27480,OPEL,Corsa,1.2 Turbo 100ch Elegance Business,Essence,4190.0,2022,Manuelle,15000.0,102.0,1,1,1,1,1,1,0,1
27481,PEUGEOT,5008,1.6 BLUEHDI 120CH ALLURE S\u0026S 7PL,Diesel,113885.0,2017,Manuelle,17490.0,122.0,1,1,0,1,1,1,0,1
27482,BMW,Z4,23i Cabriolet SDrive,Essence,149500.0,2009,Manuelle,16990.0,205.0,1,1,0,1,1,1,0,1
27483,RENAULT,Trafic,FGN L2H2 1200 KG DCI 145 ENERGY GRAND CONFORT,Diesel,5500.0,2023,Manuelle,29990.0,145.0,1,0,1,1,1,0,0,0
27484,PEUGEOT,208,1.2 Active 100,Essence,55748.0,2020,Manuelle,15490.0,101.0,1,1,0,1,1,0,0,0
27485,PORSCHE,Cayenne,3.0 V6 340CH,Essence,62000.0,2019,Automatique,84900.0,345.0,1,0,1,1,0,1,1,1
27486,HYUNDAI,TUCSON,1.6 T-GDi 230ch Hybrid N Line Executive BVA6,Autres,25250.0,2023,Automatique,34990.0,182.0,1,0,1,1,1,1,1,1
27487,TOYOTA,Yaris,90 D-4D Dynamic 5p,Diesel,28190.0,2016,Manuelle,12990.0,91.0,1,1,0,1,1,0,0,0
27488,RENAULT,Scenic,1.5 dCi110 FAP Dynamique EDC,Diesel,41000.0,2013,Automatique,14990.0,171.2730640535373,1,0,0,1,1,1,1,1
27489,VOLKSWAGEN,Passat,1.6 TDI 120 BMT Carat,Diesel,149900.0,2015,Manuelle,12990.0,120.0,1,0,0,0,0,0,0,0
27490,FORD,Mustang,Shelby GT350 V8 5.2L - PAS DE MALUS,Essence,25435.0,2016,Manuelle,87900.0,171.2730640535373,1,1,0,1,1,1,0,1
27491,TOYOTA,Yaris,120 VVT-i Design 5p,Essence,52610.0,2020,Manuelle,16999.0,171.2730640535373,1,1,1,1,1,1,1,0
27492,SUZUKI,SX4 S-Cross,1.4 Boosterjet Hybrid 129ch Style Allgrip,Électrique/Essence,8500.0,2023,Manuelle,23999.0,171.2730640535373,1,0,0,1,1,1,1,1
27493,OPEL,Corsa,1.2 - 80 TWINPORT Essentia,Essence,131817.0,2009,Manuelle,4980.0,171.2730640535373,1,1,0,1,1,1,0,1
27494,PEUGEOT,208,1.6 BLUEHDI 75CH PREMIUM PACK,Diesel,75725.0,2016,Manuelle,8990.0,76.0,1,1,0,1,0,0,0,1
27495,VOLKSWAGEN,Polo,1.0 TSI 95 DSG7 Confortline - Boitier FlexFuel E85,Ethanol,130000.0,2019,Automatique,14990.0,95.0,1,1,0,1,1,0,0,0
27496,DACIA,Sandero,ECO-G 100- 22 Essentiel,Essence,10950.0,2022,Manuelle,15090.0,101.0,1,1,1,1,1,0,0,1
27497,VOLVO,V40,D2 120CH MOMENTUM,Diesel,94700.0,2018,Manuelle,14490.0,122.0,1,0,1,1,1,1,1,0
27498,RENAULT,Scenic,bose 1.5 dci 130 etat exceptionnel,Diesel,129500.0,2015,Manuelle,10990.0,171.2730640535373,1,0,0,1,1,1,1,1
27499,PORSCHE,Cayenne,3.0 V6 462 ch Tiptronic BVA E-Hybrid,Autres,31000.0,2020,Automatique,89990.0,462.0,1,0,0,1,1,1,1,1
27500,BMW,330,330e 292 ch BVA8 M Sport,Électrique/Essence,88500.0,2020,Automatique,39000.0,184.0,1,0,1,1,1,1,1,0
27501,PEUGEOT,407,2.0 HDi 16V 140ch FAP Signature,Diesel,276900.0,2010,Manuelle,3500.0,140.0,1,1,0,1,1,1,1,1
27502,VOLVO,XC40,D3 AdBlue 150ch R-Design Geartronic 8,Diesel,70440.0,2020,Automatique,28999.0,152.0,1,1,1,1,1,1,0,0
27503,FORD,EcoSport,1.0 EcoBoost 125ch Titanium Euro6.2,Essence,82104.0,2019,Manuelle,12990.0,126.0,1,1,0,1,1,1,0,1
27504,VOLKSWAGEN,T-Roc,2.0 TSI 190 DSG 4M Sport cuir,Essence,44250.0,2018,Automatique,24488.0,190.0,1,1,1,1,1,1,0,1
